HS Code,Description,CD,SD,VAT,AIT,RD,ATV,
01012100,Pure-bred breeding animals of horses..,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01012900,Other horses,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01013000,Asses,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01019000,LIVE HORSES;ASSES;MULES AND HINNIES;NES,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01022100,Pure-bred breeding animals of cattle,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01022900,Other cattle,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01023100,Pure-bred breeding animals of buffalo,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01023900,Other buffalo,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01029010,Other pure-bred breeding animals,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01029090,Other live bovine animal,CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01031000,Live Pure-Bred Breeding Swine,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01039100,Live Swine Weighing <50kg (Excl. Pure-Bred Breeding),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01039200,Live Swine Weighing >=50kg (Excl. Pure-Bred Breeding),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01041000,Live sheep,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01042000,Live Goats,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
01051110,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01051190,Live Fowls Gallus;Domesticus<=185g; Excl.Parent Stock Of One Day Chick,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
01051210,Live Turkeys Weighing <=185g; (Parent Stock Of One Day Chick),CD 0%,SD 0%,VAT 0%,AIT 0%,RD 0%,ATV 5%,6.33,
01051290,Live Turkeys Weighing <=185g; (Excl.Parent Stock Of One Day Chick),CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
